,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.006315898282279008,0.006394278253457088,0.018570583543898324,0.0456952328261929,0.006998834351733082,0.01283079263102091,0.005885385357931526,0.004069737988998042
Precision std,0.003574146043438596,0.003152494057549268,0.008823618174009918,0.02172291508874145,0.004387386384240531,0.006855139813087426,0.003287121730481581,0.0023608562389400246
Precision median,0.005388993502093261,0.00585726751483592,0.016374402507708455,0.04138690801668943,0.0059276166698416805,0.01109178683458754,0.005364570241613678,0.003631577315546299
Best precision,0.0006372490153253212,0.0012188707859771216,0.0046434758770885366,0.005250661152768776,0.001075732146503194,0.0006989831297228652,0.0009708513893062677,0.0004122307851945739
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.026780651855468747,0.02570340576171875,0.0260192626953125,0.027191833496093748,0.02578472900390625,0.02587501220703125,0.024732409667968747,0.02488045654296875
Mean experiment CPU time,133.93463134765625,128.54437255859375,130.12786865234375,135.988525390625,128.95269775390625,129.40325927734375,123.6878662109375,124.427001953125
Experiments,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
