,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,8.787879524586373e-06,9.911667875289079e-06,1.0563463613560325e-05,1.2341949387036766e-05,1.0022527780950149e-05,1.0747198325770202e-05,8.23998749217961e-06,8.746151589533512e-06
Precision std,4.924724203251109e-06,5.912313519502179e-06,6.352994985845923e-06,7.04344557887635e-06,5.6459640805466394e-06,6.073715536209415e-06,4.8542292214225975e-06,4.819168915527911e-06
Precision median,7.704993611245706e-06,8.700530309314661e-06,9.158964053305857e-06,1.1503144635562868e-05,8.942069147061702e-06,9.516909001646298e-06,7.102758634960578e-06,7.944794784691044e-06
Best precision,1.7937804212856942e-06,1.0540834334091122e-06,1.145554645645988e-06,1.1288985998640037e-06,9.773284136344402e-07,1.4962701369236027e-06,9.616660094864124e-07,1.0931313148556287e-06
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.01075223388671875,0.00975777587890625,0.009604705810546874,0.009670367431640625,0.009521972656249999,0.009719207763671875,0.00955118408203125,0.00965260009765625
Mean experiment CPU time,53.786346435546875,48.80712890625,48.0404052734375,48.3675537109375,47.627899169921875,48.61505126953125,47.77239990234375,48.27972412109375
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
