,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.6367155140164437e-06,2.9856743143031064e-06,2.20948432240197e-06,2.1657656241174533e-06,2.895223579460408e-06,2.6127727157696895e-06,2.7047897960627615e-06,2.7935871353120595e-06
Precision std,2.1745675926349673e-06,2.533923497276574e-06,1.5651950889581468e-06,1.623642494572335e-06,2.3160537736022617e-06,1.9119568597554072e-06,2.225673108464418e-06,2.2022657463081164e-06
Precision median,2.126545949753056e-06,2.361283385166863e-06,1.7881358939389387e-06,1.7486786331486727e-06,2.355943366594322e-06,2.057590331202753e-06,2.140032221251621e-06,2.165777102539048e-06
Best precision,6.920613849966716e-08,1.162644451214567e-07,1.9629560228448733e-07,1.1501453054489276e-07,1.7302721286686822e-07,1.518043931866016e-07,1.1635298169362827e-07,1.1503811165601878e-07
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.00775992431640625,0.007966931152343749,0.007896636962890623,0.008290838623046875,0.007551312255859375,0.007565435791015625,0.007535858154296875,0.0075501220703125
Mean experiment CPU time,38.8267822265625,39.860382080078125,39.508087158203125,41.4825439453125,37.77618408203125,37.84515380859375,37.698822021484375,37.770111083984375
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
