,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.735178940526789e-06,3.6095533136676776e-06,8.720823765756039e-06,3.450633717017621e-05,3.6075137006968022e-06,6.740241503755777e-06,2.7124573383278885e-06,4.091021157648997e-06
Precision std,1.8883792736466168e-06,2.414952719090535e-06,8.000249859281895e-06,4.819500858134857e-05,2.65032650379862e-06,5.520351423954688e-06,2.746441425939354e-06,3.511894760701585e-06
Precision median,2.317264596527729e-06,3.0460642017373324e-06,6.32215086847755e-06,2.0822168145390767e-05,2.8986230448713816e-06,5.222876361171194e-06,2.168380807704342e-06,2.9762139804141947e-06
Best precision,1.8121318278436587e-07,2.4067156169376884e-07,9.342626079993876e-07,1.0162655705144463e-06,1.8991704342310618e-07,3.991910046063959e-07,2.759464765083888e-07,3.2102979406011213e-07
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.011239506532108055,0.010830051940926491,0.010840366444393254,0.011036076992170579,0.010861697618507669,0.010864262421899036,0.01063632349581635,0.010728354049026372
Mean experiment CPU time,56.22726735614257,54.177071551539086,54.227777446892595,55.206457245005815,54.334250772046836,54.3470777438944,53.20774200851571,53.667604484054834
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
