,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.4101531399859657e-16,1.0657855609484452e-16,4.555398086929387e-16,7.1986469831991675e-16,1.9297551571057225e-16,4.259354073224838e-16,2.3283463394153158e-17,3.118547772243929e-24
Precision std,2.5990279954086045e-16,1.9305791917551922e-16,2.981634118265686e-16,3.622368069798368e-16,2.925508787003281e-16,2.903942789900255e-16,5.331960662774271e-17,8.89504409124013e-24
Precision median,1.6135581255033517e-17,1.2139811192045822e-17,4.4167811963125836e-16,6.374538448002111e-16,4.5659999350463873e-17,4.0005175015053896e-16,4.484053667933182e-19,2.3853149720586245e-26
Best precision,1.5678712979130757e-25,4.494771023241523e-24,1.6030225808300803e-17,1.476921090592247e-16,2.595333382987426e-26,4.889645259013916e-20,5.3930400694414725e-27,1.4884641743384249e-30
Mean iterations per experiment,1036.109375,1138.375,2632.171875,4209.875,1104.421875,2125.3125,1201.859375,2743.203125
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.011076336791688339,0.011696736367410407,0.012385464873473417,0.012589695938544768,0.012444702167540123,0.012359840192144646,0.012460415488503084,0.012215296299226363
Mean experiment CPU time,11.462158203125,13.321533203125,32.617431640625,53.030029296875,13.753173828125,26.278076171875,14.984130859375,33.526611328125
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
