,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,4.475982488485787,3.65959584133583,2.8900449884776447,2.5130918634762973,3.776763738464348,2.876373113446462,4.151763738479195,3.1595762384541892
Precision std,1.566098151994557,1.2674961515171563,0.9407151086904031,0.7729243878670732,1.239061945858256,0.9040838200610445,1.5263381340034183,0.9758258940978894
Precision median,3.9974668640088042,2.997466864269453,2.9974668631930905,1.9974668641342845,3.9974668627781282,2.9974668631735577,3.9974668634342017,2.9974668635279027
Best precision,0.9974668631149842,0.9974668632447182,0.9974668629475371,0.9974668629222262,0.9974668633040263,0.9974668629483131,1.9974668626926577,0.9974668634001761
Mean iterations per experiment,1754.576171875,1648.48828125,1669.748046875,1863.244140625,1674.08984375,1667.615234375,1785.04296875,1667.630859375
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.008907708679004294,0.009143123487026377,0.0090797019376084,0.009117623268406119,0.009091257674057215,0.009101600455512946,0.00902763762536672,0.009025369644545238
Mean experiment CPU time,15.636725759589842,15.091427053863278,15.16530343599999,17.00128299074218,15.218068395591773,15.186103438812488,16.11022531626559,15.038513839787091
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
