,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,3.9554450292449506,6.657101209299783e-10,7.38844314322206e-08,5.796242081588215e-06,5.588586965598839e-08,9.543591177078974e-08,3.5808776108784546,0.9061654186123147
Precision std,2.673246529858169,4.1650151742282395e-09,4.697024625509652e-07,2.6018275094074796e-05,5.550220274631415e-07,5.542791961738426e-07,2.6846361450120098,0.6906785284725708
Precision median,3.342605679080651,5.292770014918241e-12,2.0116796265933584e-09,6.093317232122576e-07,1.3422776483506438e-09,2.871982374331905e-09,2.9106072234443103,0.7192801564405513
Best precision,0.1904985563233865,5.592075676739467e-14,1.4711852840683495e-13,1.581765951640213e-09,5.742418159409098e-13,1.1714252205594823e-12,0.11598650951997128,0.030770438512410764
Mean iterations per experiment,5000.0,4872.71484375,4999.53125,5000.0,4978.4296875,4999.35546875,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.02440684814453125,0.024198945357981772,0.02368077022364882,0.02369696044921875,0.023745892552504363,0.023729369805801724,0.023701757812499998,0.024345874023437502
Mean experiment CPU time,122.064453125,117.96337890625,118.4227294921875,118.51263427734375,118.24237060546875,118.66082763671875,118.53717041015625,121.760986328125
Experiments,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
