,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,3.2885900362001608,3.2049336725109745,2.9670518696636154,3.421046308047838,3.453538982041959,2.522250663883957,3.7074160338942805,4.752597418270719
Precision std,4.820288709050695,4.9782860169760355,7.095448520591888,6.708708865709562,5.491761341837116,5.860536125170214,5.191349330375477,5.989726482081418
Precision median,0.10014883953256618,5.280434267299587e-06,2.0143848551028813e-05,0.10003768653638564,4.892324440265071e-06,2.7437273124980482e-06,0.10016758624950092,0.17348504527087572
Best precision,2.871790375710439e-10,2.4028740906418857e-11,5.1658364639941946e-11,1.29820483081248e-09,1.7836314491395162e-11,4.4456542941276085e-11,1.2456174473787006e-10,8.16561791089446e-10
Mean iterations per experiment,4980.1796875,4965.806640625,4967.30859375,4960.78515625,4969.42578125,4971.392578125,4980.03125,4987.541015625
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.010842350140712909,0.010645165259471394,0.010717972840549247,0.01105146291897919,0.01069098530360766,0.01074379677155047,0.010784480788828918,0.010693618904503082
Mean experiment CPU time,54.02681008501564,52.882745355175786,53.26176773782422,54.84704686965229,53.15012419560945,53.43353590549414,53.73190286579686,53.35762498570115
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
