,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.0041647823166973755,0.004678790709173679,0.005296188789595306,0.005879698454234928,0.004515631748161782,0.005208794152928567,0.004022169925558262,0.004289058081832186
Precision std,0.0015540534114071075,0.001685817588545831,0.001819857294808998,0.0021375254199550715,0.001643809578924086,0.0018354616056383917,0.0013297715139784529,0.0016001144159174285
Precision median,0.003985873215493343,0.00451539335588284,0.0050820300208705696,0.005652815062298139,0.00435774616001874,0.005063332728403794,0.003887545276240297,0.004159804321608208
Best precision,0.0009697485731029863,0.0009628211686042415,0.0013589116721142128,0.0013201443826900451,0.000770020833703458,0.0013999205777361153,0.0008135545207399649,0.0008640775315365124
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.007525238037109375,0.00768670654296875,0.007717626953125001,0.007797357177734375,0.00770299072265625,0.006534869384765625,0.0078109619140625,0.0079094970703125
Mean experiment CPU time,37.647857666015625,38.45745849609375,38.610198974609375,39.01123046875,38.536041259765625,32.69287109375,39.07855224609375,39.571380615234375
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
