,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.07151610410652309,3.2418956341225085e-08,2.358520221545774e-13,6.697640809499325e-14,9.54731291381779e-08,8.921037009617705e-13,0.062121766641537415,0.02419034085735556
Precision std,0.06708811344239388,4.660166967098482e-07,4.459863385261794e-12,7.257976990960182e-13,1.0102294569471865e-06,1.1139698241169526e-11,0.08774548431884333,0.03091835508351776
Precision median,0.05081675385277175,5.86704444139103e-12,5.1500091174293e-15,2.784563324694902e-15,2.2484586353690277e-10,1.0303777119521363e-14,0.03961383748454372,0.015734170145985077
Best precision,0.0010180542987493675,1.3807200035721729e-14,1.562057972349814e-18,1.397206756923334e-16,2.0900586271614907e-13,9.417599330460491e-18,0.0015779264203519684,0.0006513558501206949
Mean iterations per experiment,1493.716796875,2592.16015625,1434.1015625,1901.650390625,2981.955078125,1404.625,1539.8984375,2037.453125
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.008663914393139793,0.008811833023554812,0.008773721428217075,0.008169972250273294,0.009185264787202064,0.00887788488449131,0.009167060870674728,0.009226015850119378
Mean experiment CPU time,12.943389892578125,22.850189208984375,12.589599609375,15.54595947265625,27.401214599609375,12.482635498046875,14.119964599609375,18.8101806640625
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
