,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.2929453083578876,1.0001649452699535e-14,3.422940344664359e-15,2.505253685162422e-15,1.288559973023747e-14,4.164638051773668e-15,0.2064987498535189,0.06332511301144528
Precision std,0.2559038719800468,5.444433248496904e-15,1.7253493399399397e-15,1.1019592179969542e-15,7.082073398747538e-15,2.2792833292611493e-15,0.21733432914641818,0.0633976409301219
Precision median,0.22987840219994252,8.814511129600934e-15,3.160519735348722e-15,2.3694753689097043e-15,1.163297674145203e-14,3.842812762258921e-15,0.14125008382461685,0.042938814040449635
Best precision,0.003610050439616919,6.377689780701496e-20,1.974000647205552e-17,1.1600945608123249e-17,1.7882314690474915e-15,1.1953896491743856e-16,0.004538078285146406,0.0007595455906408697
Mean iterations per experiment,5000.0,1375.81640625,1430.11328125,2023.904296875,1476.185546875,1355.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.007137652587890625,0.007427336326418772,0.007385103738486535,0.007358182048941159,0.00743592296904372,0.007446258288013888,0.0073193237304687506,0.005692443847656251
Mean experiment CPU time,35.709075927734375,10.225006103515625,10.56719970703125,14.900299072265625,10.983917236328125,10.095855712890625,36.616668701171875,28.475830078125
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
