,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.7814598430125645,0.34649381415025526,0.17130031261497497,0.11703103422183725,0.29977554723824934,0.17130031258434864,2.722942781928324,2.1786438962466317
Precision std,0.5490240364553809,0.7553890169181557,0.5586692191696687,0.4681264647992232,0.7125173927547587,0.5586692190703841,0.5965884884111561,0.7631368359381988
Precision median,2.8620127171899696,1.4608426958715305e-14,9.264857275597979e-15,8.838854344646218e-15,1.535723228243453e-14,8.734768973163066e-15,2.8091538328301526,2.281355126319014
Best precision,0.339941898865186,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.11657715000468613,0.010691366554038054
Mean iterations per experiment,4813.33984375,2005.0390625,2053.44921875,2993.75,2255.091796875,1964.279296875,4776.99609375,4971.029296875
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.01269327923618084,0.012908659559402506,0.012881182056790199,0.010485491199336765,0.009624230868680049,0.010144350808540498,0.009331722987930243,0.006737769199660283
Mean experiment CPU time,61.12945460824221,25.8931177330312,26.46762262016785,31.25955045917771,21.767700686654365,19.96464819243336,44.4322928276563,33.51255072710957
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
