,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.4732554385009925e-06,4.811747041278503e-06,8.503920648233886e-06,2.9543562630920824e-05,3.711336914078227e-06,7.211965972615144e-06,2.930728073570245e-06,4.825778164550914e-06
Precision std,1.6685952201624688e-06,3.6238724011432145e-06,6.721883616025826e-06,3.582338105841495e-05,2.670339821751694e-06,4.2018052286326346e-06,1.995452730854059e-06,3.640305822161819e-06
Precision median,2.2078148774417196e-06,3.3563506337674293e-06,7.078001572506623e-06,1.7854139094503933e-05,2.8092082795926344e-06,6.4881281301868715e-06,2.654691583773175e-06,3.674377443789374e-06
Best precision,3.2956705362497215e-07,4.920685691884097e-07,5.979615499342348e-07,2.2002739942881422e-06,6.140346137659146e-07,6.12640268337953e-07,5.223824134287533e-07,7.242413761226167e-07
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.012981689453125,0.01359892578125,0.013775146484375,0.013472314453124998,0.0132091796875,0.0131728515625,0.013174951171875,0.013180615234375
Mean experiment CPU time,64.931640625,68.021484375,68.9072265625,67.380615234375,66.072265625,65.88623046875,65.89794921875,65.921875
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
