,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.1509113957532946,0.16578319818321632,0.2707737830789325,0.4066901700956867,0.14327460489516902,0.22057320313644604,0.13468879428084868,0.11640979266586951
Precision std,0.06597818150568285,0.06937133608386817,0.11118856755720291,0.18058885796797167,0.05628446312446333,0.08773855622473174,0.0575962317273003,0.05707519158090133
Precision median,0.14782666390487348,0.16071629627556475,0.25999784033151524,0.3666557786903618,0.13311972114312992,0.20122162196380394,0.12456133636838944,0.10475975058831119
Best precision,0.04944605733279984,0.04194446656434738,0.10416697649973332,0.10498523232932253,0.04387942640086399,0.06822527719549602,0.019294885206136043,0.030869031673044448
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.021220019531250002,0.021635009765625,0.021894140625000003,0.022267041015625003,0.021623388671875,0.02180458984375,0.021580908203125,0.021713671875
Mean experiment CPU time,106.129150390625,108.200927734375,109.49658203125,111.3603515625,108.14111328125,109.046630859375,107.9248046875,108.59033203125
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
