,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.30498165357163437,9.470215247552618e-15,3.324107446193967e-15,2.739607100660618e-15,1.3919604987779709e-14,4.242593255840694e-15,0.22834317561861256,0.06229270152606576
Precision std,0.29193904601050114,4.14684663248009e-15,1.870490845266102e-15,1.4231654251338833e-15,6.8631316178931715e-15,2.026795273300514e-15,0.22058813885832945,0.06304879702562426
Precision median,0.20551582893038922,9.101477098069098e-15,2.896140399373716e-15,2.487463488759635e-15,1.3029886177405563e-14,3.799955341298773e-15,0.1609052003806463,0.047449237075133904
Best precision,0.003450867115827866,2.777227669993759e-16,7.342101478643041e-16,3.818444101379956e-16,1.6751198442633159e-15,1.2050177207869184e-15,0.010555007394916927,0.0005771845823324656
Mean iterations per experiment,5000.0,1362.90625,1432.84375,2015.25,1487.328125,1360.171875,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.009212255859375,0.009478489622605429,0.009654115310524524,0.009809450393531035,0.009884562075833426,0.009911235623440378,0.00983623046875,0.009739501953125
Mean experiment CPU time,46.088134765625,12.92138671875,13.840576171875,19.776123046875,14.7138671875,13.485595703125,49.207275390625,48.720458984375
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
