,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.903814927802491,2.7559703911078914,2.1996842418727756,1.953847829384095,2.823034661332163,2.1831316636365274,2.884094196146174,2.6492158161403374
Precision std,0.5810978348755367,0.8151273889730853,0.7164192620190477,0.5157399911884862,0.7437976279433475,0.6326075791243484,0.7057454081814744,0.6823116002320521
Precision median,2.8165123023490577,2.723288770769611,2.2247928938559802,1.9899172697408405,2.8141644308494325,2.2247951451139127,2.8082438466026716,2.534653523906788
Best precision,1.7233298263253267,0.9949586329333066,1.1839416044955868e-08,0.9949586332163672,1.4070840006779355,1.1274645334466427e-08,0.025977261386077807,0.010236735173508713
Mean iterations per experiment,5000.0,5000.0,4966.65625,5000.0,5000.0,4961.15625,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.011723632812499999,0.012222509765625,0.012208691951434928,0.012196435546874999,0.012146777343750002,0.012364896540311754,0.012565185546875,0.01273818359375
Mean experiment CPU time,58.642578125,61.134033203125,60.661865234375,61.004638671875,60.75732421875,61.37109375,62.84765625,63.71484375
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
