,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.0355005608574777,3.105521840434063e-11,5.840604450897453e-08,1.4999769137240827e-05,1.0876040047894152e-08,3.27322776840294e-08,0.869560690308617,0.2687087205278077
Precision std,0.6993425206930838,8.752654215265454e-11,2.129884574768537e-07,9.508823966124081e-05,5.194691110584928e-08,1.4253924563749806e-07,0.5702300470989982,0.25820772603177305
Precision median,0.914749610696739,9.012297618203536e-13,2.7418286123276156e-09,7.679107120762274e-07,3.980753726810522e-10,3.778990775855834e-09,0.7763320376195242,0.15967750863517433
Best precision,0.07191134908747877,2.317315327817441e-14,2.233966750678323e-12,1.4129144844669353e-08,4.183066881272512e-14,1.029826212315245e-11,0.08577238787190301,0.0037337318986888223
Mean iterations per experiment,5000.0,4863.953125,5000.0,5000.0,4980.046875,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.018981494140625,0.019496770372530586,0.019403857421875,0.019097851562499997,0.019168601753781028,0.01941953125,0.01894560546875,0.019043896484375003
Mean experiment CPU time,94.937744140625,94.85009765625,97.047607421875,95.5166015625,95.483154296875,97.12255859375,94.75830078125,95.242431640625
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
