,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,0.006403094884882703,0.007077819353362058,0.018571043801506308,0.04551901170816296,0.005941650099292708,0.012406597789235335,0.006239871534724422,0.0038000273945357015
Precision std,0.004124015594200275,0.0033827361812598603,0.009581627765927173,0.02081206657282146,0.0028792434485355616,0.004373765608283373,0.003640001727053659,0.0020830574206785217
Precision median,0.005211077791744789,0.0068225260825763474,0.016967363975101533,0.04430695862546337,0.005069068045230983,0.011801963502949852,0.005043380387310515,0.003580783732735342
Best precision,0.0020568541642069648,0.0011973133043721334,0.0059843476264089,0.009806094880131089,0.0010388458071850194,0.0025324473694337624,0.0015167515039753486,0.0009896653286334547
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.021010595703125003,0.020354150390625,0.020520898437499997,0.020880908203125,0.020373339843749998,0.02053076171875,0.020332275390624998,0.020431591796875002
Mean experiment CPU time,105.08056640625,101.79296875,102.6298828125,104.429443359375,101.887451171875,102.674072265625,101.688720703125,102.1826171875
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
